0:0:0:0:0:0:0:1 - - [30/May/2025:12:01:47 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2025:12:01:49 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/May/2025:12:02:09 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/May/2025:12:02:09 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13445
0:0:0:0:0:0:0:1 - - [30/May/2025:12:02:09 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2025:12:13:14 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2025:12:39:06 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [30/May/2025:12:45:17 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2025:12:45:17 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13445
0:0:0:0:0:0:0:1 - - [30/May/2025:14:57:20 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/May/2025:16:22:33 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13445
0:0:0:0:0:0:0:1 - - [30/May/2025:16:22:33 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2025:16:22:34 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2025:16:22:44 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [30/May/2025:16:31:55 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/May/2025:16:31:55 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Purchase%20Order%20ID-PO043%20Deleted%20Successfully HTTP/1.1" 200 13483
0:0:0:0:0:0:0:1 - - [30/May/2025:16:31:55 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2025:16:38:28 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13483
0:0:0:0:0:0:0:1 - - [30/May/2025:16:38:41 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2025:16:38:47 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/May/2025:16:38:47 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Purchase%20Order%20ID-PO045%20Deleted%20Successfully HTTP/1.1" 200 13633
0:0:0:0:0:0:0:1 - - [30/May/2025:16:51:00 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13374
0:0:0:0:0:0:0:1 - - [30/May/2025:16:51:00 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2025:16:51:06 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/May/2025:16:51:06 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3&confirmMsg=Purchase%20Order%20ID-PO027%20Deleted%20Successfully HTTP/1.1" 200 13407
0:0:0:0:0:0:0:1 - - [30/May/2025:17:02:52 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
